test_idx,claim,true_label,evidence,explanation
89,"A video shows a massive wave from the January 1, 2024 Japan earthquake",False,"- The video shows how a ship crashed into a giant wave that was the result of the massive earthquake that hit Cianjur, Indonesia, on November 21. (Rated: False, Year: 2022)
- Video shows tsunami caused by a powerful earthquake in the Philippines. (Rated: False, Year: 2022)
- Video shows earthquake in Shanghai in January 2021 (Rated: False, Year: 2021)","A video shows how a ship crashed into a giant wave that was the result of the massive earthquake that hit Cianjur, Indonesia, on November 21. The video shows how a ship crashed into a giant wave that was the result of the massive earthquake that hit Cianjur, Indonesia, on November 21. The video shows how a ship crashed into a giant wave that was the result of the massive earthquake that hit Cianjur, Indonesia, on November 21. The video shows how a ship crashed into a giant wave that was the result of the massive earthquake that hit Cianjur, Indonesia"
90,"As of December 2023, Disney World is now rapid drug testing all guests over the age of nine.",False,"- Disney World is lobbying to lower the drinking age on its Florida property to 18. (Rated: False, Year: 2022)
- Australia forces everyone to get at least 1 dose before Christmas in 2021? (Rated: Partially True, Year: 2021)
- World Health Organization has reclassified 65-year-olds as youth (Rated: False, Year: 2022)","As of December 2023, Disney World is now rapid drug testing all guests over the age of nine. Disney World is lobbying to lower the drinking age on its Florida property to 18. Disney World is lobbying to lower the drinking age on its Florida property to 18. Disney World is lobbying to lower the drinking age on its Florida property to 18. Disney World is lobbying to lower the drinking age on its Florida property to 18. Disney World is lobbying to lower the drinking age on its Florida property to 18. Disney World is lobbying to lower the drinking age on its Florida property to 18. Disney World is lobbying to lower the drinking age"
91,Swimmer Lia Thomas was fired from her job as a high school coach after two weeks when half of the team quit.,False,"- Virginia Tech swimmer tweeted about Lia Thomas (Rated: False, Year: 2022)
- Swimmer Reka Gyorgy was suspended from Twitter for criticizing Lia Thomas. (Rated: False, Year: 2022)
- In January 2022, California substitute teacher Bridget Maas was fired or faced censure because she refused to accept a student's expressing their feline alter ego. (Rated: Unverifiable, Year: 2022)","Lia Thomas was fired from her job as a high school coach after two weeks when half of the team quit. (Rated: False, Year: 2022) In January 2022, California substitute teacher Bridget Maas was fired or faced censure because she refused to accept a student's expressing their feline alter ego. (Rated: Unverifiable, Year: 2022)"
92,"A part four to ""The NeverEnding Story"" film franchise is set to release in 2024.",False,"- The film sequel ""Scream 5"" is expected to be released in 2022. (Rated: True, Year: 2021)
- ""F9,"" the final film in ""The Fast and the Furious"" franchise, is set to be released on June 25, 2021. (Rated: Partially True, Year: 2021)
- In August 2021, Netflix announced that the fourth season of ""Stranger Things"" would be released in 2022. (Rated: True, Year: 2021)","A part four to ""The NeverEnding Story"" film franchise is set to release in 2024. (Rated: True, Year: 2021)"
93,"A video shared online in January 2024 accurately showed former U.S. President Bill Clinton greeting medical workers outside of a hospital in an attempt to distract the news media from his connections to the late Jeffrey Epstein, a convicted sex offender.",False,"- A photograph shows U.S. President Bill Clinton with billionaire/financier and convicted sex offender Jeffrey Epstein. (Rated: True, Year: 2019)
- U.S. President Bill Clinton was photographed with Jeffrey Epstein and Ghislaine Maxwell at the White House during his time as commander in chief. (Rated: True, Year: 2022)
- A photograph shows a young Bill Clinton meeting President John F. Kennedy. (Rated: True, Year: 2022)","A video shared online in January 2024 accurately showed former U.S. President Bill Clinton greeting medical workers outside of a hospital in an attempt to distract the news media from his connections to the late Jeffrey Epstein, a convicted sex offender."
94,"Michael Jordan, Sylvester Stallone turned down deals with Nike, Bud Light",False,"- Says ""Michael Jordan resigns from the board at Nike-takes 'Air Jordans' with him."" (Rated: False, Year: 2018)
- Michael Jordan will drop the price of all Air Jordan shoes to $19.99 in 2017. (Rated: False, Year: 2016)
- Michael Jordan resigned from the board at Nike and took his Air Jordan line of apparel with him. (Rated: False, Year: 2018)","Michael Jordan will drop the price of all Air Jordan shoes to $19.99 in 2017. (Rated: False, Year: 2016) - Michael Jordan resigned from the board at Nike and took his Air Jordan line of apparel with him. (Rated: False, Year: 2018) - Michael Jordan will drop the price of all Air Jordan shoes to $19.99 in 2017. (Rated: False, Year: 2016) - Michael Jordan will drop the price of all Air Jordan shoes to $19.99 in 2017. (Rated: False, Year: 2016) - Michael Jordan"
95,A video shows North Korean leader Kim Jong Un and Russian President Vladimir Putin toasting each other then placing their drinks on the table without consuming them.,False,"- Video shows Russian President Vladimir Putin meeting with South Korea's president. (Rated: False, Year: 2022)
- Video of a North Korean leader Kim Jong-un leading a 'corrupt' Korean politician to be swallowed up by the ground (Rated: False, Year: 2019)
- A video is making rounds on social media with shocking claims which involve North Korean leader Kim Jong Un walking a person into an automated cavity in the ground with the claim, 'North Korea president giving death punishment to one of his corrupt officer in presence of media..'. North Korea president giving death punishment to (Rated: False, Year: 2018)","A video shows Kim Jong Un and Russian President Vladimir Putin toasting each other then placing their drinks on the table without consuming them. A video is making rounds on social media with shocking claims which involve North Korean leader Kim Jong Un walking a person into an automated cavity in the ground with the claim, 'North Korea president giving death punishment to one of his corrupt officer in presence of media'. North Korea president giving death punishment to (Rated: False, Year: 2018)"
96,T-Mobile will fine you for certain topics in private text messages,False,"- President Trump has the right and the means to send unblockable text mesage to all American cellular phones. (Rated: False, Year: 2016)
- ""The government will be infiltrating"" personal text messages. (Rated: False, Year: 2021)
- ""Good Morning"" messages can hack private information (Rated: Partially True, Year: 2020)","T-Mobile has the right and the means to send unblockable text mesage to all American cellular phones. (Rated: False, Year: 2016)"
97,"T-Mobile plans to fine its customers up to $3,500 for text messages it doesn't like.",False,"- Verizon Wireless will donate $1 towards the care of Bruce Delburg, a infant suffering from lung cancer, every time a text message is sent to seven people (Rated: False, Year: 2008)
- Good morning messages are going to be charged 18% GST. (Rated: False, Year: 2021)
- Twitter to start charging $20 per month for verification. (Rated: Partially True, Year: 2022)","T-Mobile plans to fine its customers up to $3,500 for text messages it doesn't like. Known verdict for this claim: False. Relevant past fact-checks: - Verizon Wireless will donate $1 towards the care of Bruce Delburg, a infant suffering from lung cancer, every time a text message is sent to seven people (Rated: False, Year: 2008) - Good morning messages are going to be charged 18% GST. (Rated: False, Year: 2021) - Twitter to start charging $20 per month for verification. ("
98,Tata Group chairman Ratan Tata provided the Indian Army with bullet-proof and bomb-proof buses,Partially True,"- Claim:Ratan Tata: ""In a country, if Prime Minister's popularity increases due to the death of 65 soldiers, then nobody can save that country from getting destroyed"" (Rated: False, Year: 2019)
- Ratan Tata has pledged his entire wealth to rid India of COVID19 (Rated: False, Year: 2021)
- Viral photo allegedly shows Ratan Tata with Captain Jehan Dastur on Air India's first flight since Tata takeover on January 29, 2022. (Rated: Partially True, Year: 2022)","Ratan Tata has pledged his entire wealth to rid India of COVID19 (Rated: False, Year: 2021) - Viral photo allegedly shows Ratan Tata with Captain Jehan Dastur on Air India's first flight since Tata takeover on January 29, 2022. (Rated: False, Year: 2022) In 2-3 sentences, explain why the verdict is correct, using the evidence above. Do not invent new facts; just summarise the reasoning."
99,"Donald Trump ""deported less, believe it or not, than Barack Obama even did.""",True,"- Says Barack Obama ""has deported more people than any other president in this country's history."" (Rated: Partially True, Year: 2012)
- ""The actual deportations from the interior of the country are way down"" under President Obama. (Rated: True, Year: 2015)
- ""22 times Barack Obama said he did not have the authority to implement this type of"" anti-deportation ""measure. And then the day after he signed this into law, he said, quote, 'I just changed the law. (Rated: Partially True, Year: 2015)","Donald Trump ""deported more people than any other president in this country's history."" (Rated: Partially True, Year: 2012) ""The actual deportations from the interior of the country are way down"" under President Obama. (Rated: True, Year: 2015) ""22 times Barack Obama said he did not have the authority to implement this type of"" anti-deportation ""measure. And then the day after he signed this into law, he said, quote, 'I just changed the law. (Rated: Partially True, Year: 2015)"
